serie;set;appAfkorting;gekozenExpansionId;rang;score;overlap;appUniekeNamen;cmUniekeNamen;cmProducten;origineelAdvies;keuzeReden;sampleOverlap
Platinum;Platinum;PL;1562;1;0.1238;16;121;134;137;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;broken time space, cyrus s conspiracy, galactic hq, level max, life herb, looker s investigation, memory berry, miasma valley, pluspower, poke ball, pokedex handy910is, pokemon rescue, rainbow energy, team galactic s invention g 101 energy gain, team galactic s invention g 103 power spray, team galactic s invention g 105 poke turn
Diamond & Pearl;Stormfront;SF;1561;1;0.1373;14;95;106;107;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;conductive quarry, cyclone energy, energy link, energy switch, great ball, luxury ball, marley s request, poke blower, poke drawer, poke healer, potion, premier ball, switch, warp energy
Diamond & Pearl;Majestic Dawn;MD;1559;1;0.1339;13;92;100;109;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;call energy, dawn stadium, dusk ball, energy restore, energy search, fossil excavator, health energy, mom s kindness, poke ball, quick ball, recover energy, super scoop up, warp point
Diamond & Pearl;Secret Wonders;SW;1557;3;0.0758;10;132;132;136;zwak/alternatief;override: betere setgrootte/productcount dan rang-1;bebe s search, night maintenance, pluspower, potion, professor oak s visit, professor rowan, rival, roseanne s research, switch, team galactic s mars
Diamond & Pearl;Mysterious Treasures;MT;1556;4;0.0722;9;124;125;134;zwak/alternatief;automatisch gekozen: overlap + vergelijkbare setgrootte;bebe s search, dusk ball, fossil excavator, lake boundary, multi energy, night maintenance, quick ball, team galactic s wager, time space distortion
Diamond & Pearl;Diamond & Pearl;DP;1555;2;0.176;23;131;130;142;zwak/alternatief;override: betere setgrootte/productcount dan rang-1;darkness energy, double full heal, energy restore, energy search, energy switch, fighting energy, fire energy, grass energy, lightning energy, metal energy, night pokemon center, pluspower, poke ball, pokedex handy910is, potion, professor rowan, psychic energy, rival
EX;Power Keepers;PK;1554;2;0.213;23;108;108;109;zwak/alternatief;override: betere setgrootte/productcount dan rang-1;battle frontier, cyclone energy, drake s stadium, energy recycle system, energy removal 2, energy switch, fighting energy, fire energy, glacia s stadium, grass energy, great ball, lightning energy, master ball, multi energy, mysterious fossil, phoebe s stadium, professor birch, psychic energy
EX;Dragon Frontiers;DF;1553;2;0.1722;17;93;102;102;zwak/alternatief;override: betere setgrootte/productcount dan rang-1;boost energy, buffer piece, copycat, holon energy ff, holon energy gl, holon energy wp, holon legacy, holon mentor, island hermit, mr stone s project, old rod, professor elm s training method, professor oak s research, scramble energy, strength charm, switch, tv reporter
EX;Crystal Guardians;CG;1552;1;0.1892;18;87;100;104;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;bill s maintenance, castaway, celio s network, cessation crystal, crystal beach, crystal shard, double full heal, double rainbow energy, dual ball, energy search, holon circle, memory berry, mysterious shard, poke ball, pokenav, potion, warp point, windstorm
EX;Holon Phantoms;HP;1551;4;0.1306;14;99;112;112;zwak/alternatief;override: betere setgrootte/productcount dan rang-1;dark metal energy, fighting energy, fire energy, grass energy, holon adventurer, holon fossil, lightning energy, mr stone s project, multi energy, mysterious fossil, professor cozmo s discovery, psychic energy, rare candy, water energy
EX;EX Trainer Kit 2 Plusle;—;1627;1;0.2947;5;12;21;24;MOGELIJK - handmatig controleren;automatisch gekozen: overlap + vergelijkbare setgrootte;energy search, lightning energy, potion, professor cozmo s discovery, psychic energy
EX;EX Trainer Kit 2 Minun;—;1627;1;0.2947;5;12;21;24;MOGELIJK - handmatig controleren;automatisch gekozen: overlap + vergelijkbare setgrootte;celio s network, energy search, fire energy, lightning energy, potion
EX;Legend Maker;LM;1550;1;0.0968;9;93;93;96;MOGELIJK - handmatig controleren;automatisch gekozen: overlap + vergelijkbare setgrootte;cursed stone, fieldworker, full flame, giant stump, mysterious fossil, power tree, rainbow energy, react energy, strange cave
EX;Delta Species;DS;1549;1;0.1587;17;96;114;115;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;dual ball, great ball, holon energy ff, holon energy gl, holon energy wp, holon farmer, holon lass, holon mentor, holon research tower, holon researcher, holon ruins, holon scientist, holon transceiver, master ball, potion, super scoop up, switch
EX;Unseen Forces;UF;1548;4;0.1418;19;118;144;146;zwak/alternatief;override: betere setgrootte/productcount dan rang-1;boost energy, curse powder, cyclone energy, energy recycle system, energy removal 2, energy root, energy search, energy switch, fluffy berry, mary s request, poke ball, pokemon reversal, potion, professor elm s training method, protective orb, sitrus berry, solid rage, warp energy
EX;Emerald;EM;1547;2;0.1825;19;99;107;112;zwak/alternatief;override: betere setgrootte/productcount dan rang-1;battle frontier, double full heal, double rainbow energy, fighting energy, fire energy, grass energy, lanette s net search, lightning energy, lum berry, mr stone s project, multi energy, oran berry, pokenav, professor birch, psychic energy, rare candy, scott, wally s training
EX;Deoxys;DX;1546;1;0.1155;12;97;108;110;MOGELIJK - handmatig controleren;automatisch gekozen: overlap + vergelijkbare setgrootte;balloon berry, boost energy, crystal shard, energy charge, heal energy, lady outing, master ball, meteor falls, professor cozmo s discovery, scramble energy, space center, strength charm
EX;Team Rocket Returns;TRR;1545;2;0.1295;14;103;111;112;zwak/alternatief;override: betere setgrootte/productcount dan rang-1;copycat, dark metal energy, here comes team rocket, pokemon retriever, pow hand extension, r energy, rocket s admin, rocket s hideout, rocket s mission, rocket s poke ball, rocket s tricky gym, surprise time machine, swoop teleporter, venture bomb
EX;FireRed & LeafGreen;RG;1544;1;0.1401;16;111;116;116;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;bill s maintenance, celio s network, energy removal 2, energy switch, exp all, great ball, life herb, mt moon, multi energy, poke ball, pokedex handy909, pokemon reversal, potion, super scoop up, switch, vs seeker
EX;Hidden Legends;HL;5864;1;0.1008;9;93;83;83;MOGELIJK - handmatig controleren;automatisch gekozen: overlap + vergelijkbare setgrootte;ancient technical machine ice, ancient technical machine rock, ancient technical machine steel, ancient tomb, desert ruins, island cave, life herb, magnetic storm, steven s advice
EX;EX Trainer Kit Latios;—;1626;1;0.2087;3;10;18;20;zwak/alternatief;automatisch gekozen: overlap + vergelijkbare setgrootte;energy search, lightning energy, potion
EX;EX Trainer Kit Latias;—;1626;1;0.2087;3;10;18;20;zwak/alternatief;automatisch gekozen: overlap + vergelijkbare setgrootte;energy search, fire energy, potion
EX;Team Magma vs Team Aqua;MA;1542;1;0.227;20;71;100;98;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;aqua energy, archie, double rainbow energy, dual ball, magma energy, maxie, strength charm, team aqua ball, team aqua belt, team aqua conspirator, team aqua hideout, team aqua schemer, team aqua technical machine 01, team magma ball, team magma belt, team magma conspirator, team magma hideout, team magma schemer
EX;Ruby & Sapphire;RS;1539;3;0.2037;20;82;109;116;zwak/alternatief;override: betere setgrootte/productcount dan rang-1;energy removal 2, energy restore, energy search, energy switch, fighting energy, fire energy, grass energy, lady outing, lightning energy, lum berry, oran berry, poke ball, pokemon reversal, pokenav, potion, professor birch, psychic energy, rainbow energy
E-Card;Skyridge;SK;1538;1;0.1337;19;129;150;186;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;ancient ruins, apricorn maker, bounce energy, crystal shard, cyclone energy, desert shaman, fast ball, fisherman, friend ball, hyper potion, lure ball, mirage stadium, mystery zone, oracle, relic hunter, retro energy, star piece, underground expedition
E-Card;Aquapolis;AQ;1537;1;0.1935;28;134;151;190;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;apricorn forest, boost energy, crystal energy, darkness cube 01, energy switch, fighting cube 01, fire cube 01, forest guardian, grass cube 01, healing berry, juggler, lightning cube 01, memory berry, metal cube 01, pokemon fan club, pokemon park, power plant, psychic cube 01
E-Card;Expedition Base Set;EX;1536;1;0.21;27;121;133;169;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;bill s maintenance, copycat, dual ball, energy removal 2, energy restore, energy search, fighting energy, fire energy, full heal, grass energy, lightning energy, mary s impulse, master ball, moo moo milk, multi technical machine 01, pokemon nurse, pokemon reversal, potion
Neo;Neo Destiny;N4;1534;1;0.1327;15;113;113;113;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;broken ground gym, counterattack claws, energy amplifier, energy stadium, exp all, heal powder, impostor professor oak s invention, lucky stadium, magnifier, mail from bill, miracle energy, pokemon personality test, radio tower, team rocket s evil deeds, thought wave machine
Neo;Neo Genesis;N1;1531;1;0.2599;28;102;111;114;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;arcade game, berry, bill s teleporter, card flip game, double gust, ecogym, energy charge, fighting energy, fire energy, focus band, gold berry, grass energy, lightning energy, mary, miracle berry, moo moo milk, new pokedex, pokegear
Gym;Gym Challenge;G2;1530;1;0.2615;33;123;128;132;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;blaine, blaine s quiz 2, blaine s quiz 3, brock s protection, chaos gym, cinnabar city gym, erika s kindness, fervor, fighting energy, fire energy, fuchsia city gym, giovanni, giovanni s last resort, grass energy, koga, koga s ninja trick, lightning energy, lt surge s secret plan
Gym;Gym Heroes;G1;1529;1;0.3042;37;111;128;133;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;blaine s gamble, blaine s last resort, blaine s quiz 1, brock, brock s training method, celadon city gym, cerulean city gym, charity, energy flow, erika, erika s maids, erika s perfume, fighting energy, fire energy, good manners, grass energy, lightning energy, lt surge
Base;Team Rocket;TR;1528;2;0.1818;12;66;66;84;zwak/alternatief;override: betere setgrootte/productcount dan rang-1;challenge, digger, full heal energy, goop gas attack, here comes team rocket, imposter oak s revenge, nightly garbage run, potion energy, rainbow energy, rocket s sneak attack, sleep, the boss s way
Base;Base Set 2;B2;1527;3;0.2308;30;130;130;130;zwak/alternatief;override: betere setgrootte/productcount dan rang-1;bill, computer search, defender, double colorless energy, energy removal, energy retrieval, fighting energy, fire energy, full heal, grass energy, gust of wind, imposter professor oak, item finder, lass, lightning energy, maintenance, pluspower, poke ball
Base;Fossil;FO;1526;1;0.1064;5;47;47;63;MOGELIJK - handmatig controleren;override: betere setgrootte/productcount dan rang-1;energy search, gambler, mr fuji, mysterious fossil, recycle
Base;Base;BS;1523;1;0.3137;32;102;102;211;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;override: betere setgrootte/productcount dan rang-1;bill, clefairy doll, computer search, defender, devolution spray, double colorless energy, energy removal, energy retrieval, fighting energy, fire energy, full heal, grass energy, gust of wind, item finder, lass, lightning energy, maintenance, pluspower
